Start,End,Size;
0x1C5159,0x1C519B,0x42,
0x1C5824,0x1C5876,0x52,
0x1C5876,0x1C588F,0x19,
0x1C588F,0x1C58A2,0x13,
0x1C58E4,0x1C5933,0x4F,
0x1C5933,0x1C594C,0x19,
0x1C594C,0x1C595F,0x13,
0x1C5A55,0x1C5A99,0x44,
0x1C5A99,0x1C5ADB,0x42,
0x1C6165,0x1C6230,0xCB,
0x1C6917,0x1C6A6E,0x157,
0x1C74AC,0x1C757D,0xD1,
0x1C757D,0x1C7597,0x1A,
0x1C7603,0x1C76AE,0xAB,
0x1C76AE,0x1C76CF,0x21,
0x1C76F5,0x1C7722,0x2D,
0x1C7722,0x1C779E,0x7C,
0x1C779E,0x1C77C9,0x2B,
0x1C77C9,0x1C77DC,0x13,
0x1C7913,0x1C7D43,0x430,
0x1C7D43,0x1C7E5C,0x119,
0x1C8234,0x1C8285,0x51,
0x1C8285,0x1C8286,0x1,
0x1C888B,0x1C8891,0x6,
0x1C9A07,0x1C9A2D,0x26,
0x1C9A2D,0x1C9A38,0xB,
0x1C9C4B,0x1C9C8D,0x42,
0x1C9C8D,0x1C9CAD,0x20,
0x1C9D7F,0x1C9DCF,0x50,
0x1C9DCF,0x1C9DD0,0x1,
0x1C9DE4,0x1C9E32,0x4E,
0x1C9E32,0x1C9E33,0x1,
0x1C9E57,0x1C9E99,0x42,
0x1C9E99,0x1C9E9A,0x1,
0x1CA98E,0x1CAB2A,0x19C,
0x1CAB2A,0x1CAB36,0xC,
0x1CAB36,0x1CAB3F,0x9,
0x1CAD94,0x1CAF6F,0x1DB,
0x1CAF6F,0x1CAF7D,0xE,
0x1CAF7D,0x1CAF83,0x6,
0x1CB829,0x1CB8B2,0x89,
0x1CB8B2,0x1CB8F5,0x43,
0x1CBF8E,0x1CBFD9,0x4B,
0x1CBFD9,0x1CBFF1,0x18,
0x1CC85F,0x1CC8BB,0x5C,
0x1CC8BB,0x1CC8BC,0x1,
0x1CCA21,0x1CCAA6,0x85,
0x1CCAA6,0x1CCB09,0x63,
0x1CCB86,0x1CCBA2,0x1C,
0x1CCBA2,0x1CCCE2,0x140,
0x1CCCE2,0x1CCD82,0xA0,
0x1CCD82,0x1CCD87,0x5,
0x1CCD87,0x1CCD96,0xF,
0x1CCD96,0x1CCD97,0x1,
0x1CCDB6,0x1CCDD2,0x1C,
0x1CCDD2,0x1CCF12,0x140,
0x1CCF12,0x1CCFB2,0xA0,
0x1CCFB2,0x1CCFB7,0x5,
0x1CCFB7,0x1CCFC6,0xF,
0x1CCFC6,0x1CCFC7,0x1,
0x1CD61F,0x1CD68B,0x6C,
0x1CD68B,0x1CD694,0x9,
0x1CD95C,0x1CDA0E,0xB2,
0x1CDA0E,0x1CDA60,0x52,
0x1CE176,0x1CE189,0x13,
0x1CE189,0x1CE192,0x9,
0x1CE584,0x1CE5D6,0x52,
0x1CE5D6,0x1CE5EC,0x16,
0x1CE5EC,0x1CE5FF,0x13,
0x1CE61B,0x1CE6A9,0x8E,
0x1CE6A9,0x1CE6AF,0x6,
0x1CE6DE,0x1CE7E2,0x104,
0x1CE7E2,0x1CE7E8,0x6,
0x1CE85E,0x1CE937,0xD9,
